Symbol,Name,Last Sale,Net Change,% Change,Market Cap
LYG,Lloyds Banking Group Plc American Depositary Shares,$2.47,0.10,4.219%,"43,823,993,789"
CARR,Carrier Global Corporation Common Stock ,$50.45,0.55,1.102%,"43,785,486,338"
DLR,"Digital Realty Trust, Inc. Common Stock",$154.68,-2.32,-1.478%,"43,555,984,199"
ROST,"Ross Stores, Inc. Common Stock",$121.65,3.06,2.58%,"43,443,729,141"
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),$4.06,0.02,0.495%,"43,405,409,368"
STZ,"Constellation Brands, Inc. Common Stock",$225.85,0.68,0.302%,"43,382,698,760"
EOG,"EOG Resources, Inc. Common Stock",$74.19,2.69,3.762%,"43,297,664,001"
DXCM,"DexCom, Inc. Common Stock",$446.98,-0.72,-0.161%,"43,225,591,114"
FTNT,"Fortinet, Inc. Common Stock",$264.65,0.81,0.307%,"43,222,016,602"
BK,The Bank of New York Mellon Corporation Common Stock,$50.06,0.62,1.254%,"43,210,490,440"
CNC,Centene Corporation Common Stock,$72.91,1.24,1.73%,"42,487,192,591"
SNPS,"Synopsys, Inc. Common Stock",$278.22,0.33,0.119%,"42,449,389,791"
PLTR,Palantir Technologies Inc. Class A Common Stock,$22.52,0.34,1.533%,"42,339,336,495"
AEP,"American Electric Power Company, Inc. Common Stock",$84.72,-1.02,-1.19%,"42,338,853,888"
PHG,Koninklijke Philips N.V. NY Registry Shares,$46.43,0.41,0.891%,"42,319,749,938"
APTV,Aptiv PLC Ordinary Shares,$156.05,2.90,1.894%,"42,205,711,981"
